Tanggal,Hari,Minggu Ke,Status Minggu,Jumlah Roda 2,Jumlah Roda 4,Jumlah Total
2022-04-28,Kamis,17,Perkuliahan,1907,107,2014
2022-04-29,Jumat,17,Perkuliahan,1911,107,2018
2022-04-30,Sabtu,17,Libur,340,19,359
2022-05-01,Minggu,17,Libur,330,19,349
2022-05-02,Senin,18,Perkuliahan,1897,107,2004
2022-05-03,Selasa,18,Perkuliahan,1919,107,2026
2022-05-04,Rabu,18,Perkuliahan,1915,106,2021
2022-05-05,Kamis,18,Perkuliahan,1908,107,2015
2022-05-06,Jumat,18,Perkuliahan,1897,106,2003
2022-05-07,Sabtu,18,Libur,333,19,352
2022-05-08,Minggu,18,Libur,325,18,343
2022-05-09,Senin,19,Perkuliahan,1880,105,1985
2022-05-10,Selasa,19,Perkuliahan,1895,106,2001
2022-05-11,Rabu,19,Perkuliahan,1889,105,1994
2022-05-12,Kamis,19,Perkuliahan,1878,104,1982
2022-05-13,Jumat,19,Perkuliahan,1878,105,1983
2022-05-14,Sabtu,19,Libur,331,19,350
2022-05-15,Minggu,19,Libur,325,17,342
2022-05-16,Senin,20,Perkuliahan,1871,105,1976
2022-05-17,Selasa,20,Perkuliahan,1889,106,1995
2022-05-18,Rabu,20,Perkuliahan,1882,106,1988
2022-05-19,Kamis,20,Perkuliahan,1882,106,1988
2022-05-20,Jumat,20,Perkuliahan,1875,104,1979
2022-05-21,Sabtu,20,Libur,328,18,346
2022-05-22,Minggu,20,Libur,327,18,345
2022-05-23,Senin,21,Perkuliahan,1873,106,1979
2022-05-24,Selasa,21,Perkuliahan,1901,105,2006
2022-05-25,Rabu,21,Perkuliahan,1909,106,2015
2022-05-26,Kamis,21,Perkuliahan,1898,107,2005
2022-05-27,Jumat,21,Perkuliahan,1892,106,1998
2022-05-28,Sabtu,21,Libur,333,19,352
2022-05-29,Minggu,21,Libur,329,19,348
2022-05-30,Senin,22,Perkuliahan,1899,106,2005
2022-05-31,Selasa,22,Perkuliahan,1893,106,1999
2022-06-01,Rabu,22,Ujian,4120,227,4347
2022-06-02,Kamis,22,Ujian,4128,228,4356
2022-06-03,Jumat,22,Ujian,4097,226,4323
2022-06-04,Sabtu,22,Libur,337,18,355
2022-06-05,Minggu,22,Libur,324,18,342
2022-06-06,Senin,23,Ujian,4100,226,4326
2022-06-07,Selasa,23,Ujian,4088,226,4314
2022-06-08,Rabu,23,Ujian,4084,227,4311
2022-06-09,Kamis,23,Ujian,4080,227,4307
2022-06-10,Jumat,23,Ujian,4060,226,4286
2022-06-11,Sabtu,23,Libur,329,18,347
2022-06-12,Minggu,23,Libur,315,17,332
2022-06-13,Senin,24,Ujian,4064,226,4290
2022-06-14,Selasa,24,Ujian,4060,225,4285
2022-06-15,Rabu,24,Ujian,4070,225,4295
2022-06-16,Kamis,24,Ujian,4076,224,4300
2022-06-17,Jumat,24,Ujian,4041,225,4266
2022-06-18,Sabtu,24,Libur,322,18,340
2022-06-19,Minggu,24,Libur,316,18,334
2022-06-20,Senin,25,Ujian,4065,224,4289
2022-06-21,Selasa,25,Ujian,4082,225,4307
2022-06-22,Rabu,25,Ujian,4066,226,4292
2022-06-23,Kamis,25,Ujian,4094,225,4319
2022-06-24,Jumat,25,Ujian,4060,226,4286
2022-06-25,Sabtu,25,Libur,330,18,348
2022-06-26,Minggu,25,Libur,322,18,340
2022-06-27,Senin,26,Ujian,4067,225,4292
2022-06-28,Selasa,26,Ujian,4082,226,4308
2022-06-29,Rabu,26,Ujian,4108,226,4334
2022-06-30,Kamis,26,Ujian,4091,227,4318
2022-07-01,Jumat,26,Ujian,4074,225,4299
2022-07-02,Sabtu,26,Libur,328,19,347
2022-07-03,Minggu,26,Libur,319,18,337
2022-07-04,Senin,27,Ujian,4080,225,4305
2022-07-05,Selasa,27,Ujian,4074,227,4301
2022-07-06,Rabu,27,Ujian,4064,225,4289
2022-07-07,Kamis,27,Ujian,4055,224,4279
2022-07-08,Jumat,27,Ujian,4065,224,4289
2022-07-09,Sabtu,27,Libur,326,18,344
2022-07-10,Minggu,27,Libur,316,17,333
2022-07-11,Senin,28,Ujian,4024,224,4248
2022-07-12,Selasa,28,Ujian,4048,224,4272
2022-07-13,Rabu,28,Ujian,4054,225,4279
2022-07-14,Kamis,28,Ujian,4035,223,4258
2022-07-15,Jumat,28,Ujian,4029,223,4252
2022-07-16,Sabtu,28,Libur,322,17,339
2022-07-17,Minggu,28,Libur,315,17,332
2022-07-18,Senin,29,Ujian,4039,223,4262
2022-07-19,Selasa,29,Ujian,4043,224,4267
2022-07-20,Rabu,29,Ujian,4055,224,4279
2022-07-21,Kamis,29,Ujian,4055,224,4279
2022-07-22,Jumat,29,Ujian,4035,222,4257
2022-07-23,Sabtu,29,Libur,322,18,340
2022-07-24,Minggu,29,Libur,320,18,338
2022-07-25,Senin,30,Ujian,4036,224,4260
2022-07-26,Selasa,30,Ujian,4051,225,4276
2022-07-27,Rabu,30,Ujian,4077,225,4302
2022-07-28,Kamis,30,Ujian,4060,225,4285
2022-07-29,Jumat,30,Ujian,4044,224,4268
2022-07-30,Sabtu,30,Libur,330,18,348
2022-07-31,Minggu,30,Libur,320,17,337
2022-08-01,Senin,31,Libur Akademik,378,22,400
2022-08-02,Selasa,31,Libur Akademik,387,22,409
2022-08-03,Rabu,31,Libur Akademik,387,22,409
2022-08-04,Kamis,31,Libur Akademik,385,21,406
2022-08-05,Jumat,31,Libur Akademik,377,21,398
2022-08-06,Sabtu,31,Libur,323,18,341
2022-08-07,Minggu,31,Libur,318,17,335
2022-08-08,Senin,32,Libur Akademik,373,22,395
2022-08-09,Selasa,32,Libur Akademik,381,21,402
2022-08-10,Rabu,32,Libur Akademik,379,21,400
2022-08-11,Kamis,32,Libur Akademik,379,21,400
2022-08-12,Jumat,32,Libur Akademik,371,21,392
2022-08-13,Sabtu,32,Libur,316,17,333
2022-08-14,Minggu,32,Libur,315,17,332
2022-08-15,Senin,33,Libur Akademik,362,21,383
2022-08-16,Selasa,33,Libur Akademik,373,21,394
2022-08-17,Rabu,33,Libur Akademik,379,21,400
2022-08-18,Kamis,33,Libur Akademik,378,21,399
2022-08-19,Jumat,33,Libur Akademik,366,20,386
2022-08-20,Sabtu,33,Libur,317,17,334
2022-08-21,Minggu,33,Libur,315,17,332
2022-08-22,Senin,34,Libur Akademik,369,21,390
2022-08-23,Selasa,34,Libur Akademik,381,21,402
2022-08-24,Rabu,34,Libur Akademik,384,22,406
2022-08-25,Kamis,34,Libur Akademik,381,21,402
2022-08-26,Jumat,34,Libur Akademik,376,21,397
2022-08-27,Sabtu,34,Libur,319,17,336
2022-08-28,Minggu,34,Libur,317,17,334
2022-08-29,Senin,35,Libur Akademik,370,22,392
2022-08-30,Selasa,35,Libur Akademik,378,22,400
2022-08-31,Rabu,35,Libur Akademik,385,22,407
2022-09-01,Kamis,35,Perkuliahan,1858,103,1961
2022-09-02,Jumat,35,Perkuliahan,1854,103,1957
2022-09-03,Sabtu,35,Libur,320,17,337
2022-09-04,Minggu,35,Libur,316,17,333
2022-09-05,Senin,36,Perkuliahan,1825,102,1927
2022-09-06,Selasa,36,Perkuliahan,1846,102,1948
2022-09-07,Rabu,36,Perkuliahan,1832,102,1934
2022-09-08,Kamis,36,Perkuliahan,1832,101,1933
2022-09-09,Jumat,36,Perkuliahan,1836,101,1937
2022-09-10,Sabtu,36,Libur,315,17,332
2022-09-11,Minggu,36,Libur,315,17,332
2022-09-12,Senin,37,Perkuliahan,1817,100,1917
2022-09-13,Selasa,37,Perkuliahan,1831,101,1932
2022-09-14,Rabu,37,Perkuliahan,1830,101,1931
2022-09-15,Kamis,37,Perkuliahan,1815,100,1915
2022-09-16,Jumat,37,Perkuliahan,1805,101,1906
2022-09-17,Sabtu,37,Libur,315,17,332
2022-09-18,Minggu,37,Libur,315,17,332
2022-09-19,Senin,38,Perkuliahan,1815,101,1916
2022-09-20,Selasa,38,Perkuliahan,1828,101,1929
2022-09-21,Rabu,38,Perkuliahan,1832,101,1933
2022-09-22,Kamis,38,Perkuliahan,1826,101,1927
2022-09-23,Jumat,38,Perkuliahan,1818,101,1919
2022-09-24,Sabtu,38,Libur,322,17,339
2022-09-25,Minggu,38,Libur,315,17,332
2022-09-26,Senin,39,Perkuliahan,1829,103,1932
2022-09-27,Selasa,39,Perkuliahan,1844,103,1947
2022-09-28,Rabu,39,Perkuliahan,1850,102,1952
2022-09-29,Kamis,39,Perkuliahan,1848,104,1952
2022-09-30,Jumat,39,Perkuliahan,1843,103,1946
2022-10-01,Sabtu,39,Libur,318,18,336
2022-10-02,Minggu,39,Libur,315,17,332
2022-10-03,Senin,40,Perkuliahan,1837,103,1940
2022-10-04,Selasa,40,Perkuliahan,1837,102,1939
2022-10-05,Rabu,40,Perkuliahan,1853,102,1955
2022-10-06,Kamis,40,Perkuliahan,1835,101,1936
2022-10-07,Jumat,40,Perkuliahan,1835,102,1937
2022-10-08,Sabtu,40,Libur,315,17,332
2022-10-09,Minggu,40,Libur,315,17,332
2022-10-10,Senin,41,Perkuliahan,1814,101,1915
2022-10-11,Selasa,41,Perkuliahan,1818,102,1920
2022-10-12,Rabu,41,Perkuliahan,1824,102,1926
2022-10-13,Kamis,41,Perkuliahan,1832,102,1934
2022-10-14,Jumat,41,Perkuliahan,1820,101,1921
2022-10-15,Sabtu,41,Libur,315,17,332
2022-10-16,Minggu,41,Libur,315,17,332
2022-10-17,Senin,42,Perkuliahan,1806,102,1908
2022-10-18,Selasa,42,Perkuliahan,1812,101,1913
2022-10-19,Rabu,42,Perkuliahan,1832,102,1934
2022-10-20,Kamis,42,Perkuliahan,1836,101,1937
2022-10-21,Jumat,42,Perkuliahan,1824,101,1925
2022-10-22,Sabtu,42,Libur,316,17,333
2022-10-23,Minggu,42,Libur,315,17,332
2022-10-24,Senin,43,Perkuliahan,1826,101,1927
2022-10-25,Selasa,43,Perkuliahan,1847,102,1949
2022-10-26,Rabu,43,Perkuliahan,1840,103,1943
2022-10-27,Kamis,43,Perkuliahan,1852,102,1954
2022-10-28,Jumat,43,Perkuliahan,1843,102,1945
2022-10-29,Sabtu,43,Libur,320,18,338
2022-10-30,Minggu,43,Libur,316,17,333
2022-10-31,Senin,44,Perkuliahan,1835,102,1937
2022-11-01,Selasa,44,Perkuliahan,1858,103,1961
2022-11-02,Rabu,44,Perkuliahan,1852,103,1955
2022-11-03,Kamis,44,Perkuliahan,1844,103,1947
2022-11-04,Jumat,44,Perkuliahan,1853,103,1956
2022-11-05,Sabtu,44,Libur,319,18,337
2022-11-06,Minggu,44,Libur,315,17,332
2022-11-07,Senin,45,Perkuliahan,1840,101,1941
2022-11-08,Selasa,45,Perkuliahan,1838,102,1940
2022-11-09,Rabu,45,Perkuliahan,1848,103,1951
2022-11-10,Kamis,45,Perkuliahan,1845,102,1947
2022-11-11,Jumat,45,Perkuliahan,1836,102,1938
2022-11-12,Sabtu,45,Libur,316,17,333
2022-11-13,Minggu,45,Libur,315,17,332
2022-11-14,Senin,46,Perkuliahan,1814,102,1916
2022-11-15,Selasa,46,Perkuliahan,1826,101,1927
2022-11-16,Rabu,46,Perkuliahan,1824,103,1927
2022-11-17,Kamis,46,Perkuliahan,1833,101,1934
2022-11-18,Jumat,46,Perkuliahan,1825,102,1927
2022-11-19,Sabtu,46,Libur,315,17,332
2022-11-20,Minggu,46,Libur,315,17,332
2022-11-21,Senin,47,Perkuliahan,1834,102,1936
2022-11-22,Selasa,47,Perkuliahan,1848,103,1951
2022-11-23,Rabu,47,Perkuliahan,1840,103,1943
2022-11-24,Kamis,47,Perkuliahan,1855,103,1958
2022-11-25,Jumat,47,Perkuliahan,1852,102,1954
2022-11-26,Sabtu,47,Libur,328,18,346
2022-11-27,Minggu,47,Libur,318,17,335
2022-11-28,Senin,48,Perkuliahan,1849,104,1953
2022-11-29,Selasa,48,Perkuliahan,1869,104,1973
2022-11-30,Rabu,48,Perkuliahan,1858,103,1961
2022-12-01,Kamis,48,Ujian,4074,225,4299
2022-12-02,Jumat,48,Ujian,4050,225,4275
2022-12-03,Sabtu,48,Libur,329,18,347
2022-12-04,Minggu,48,Libur,318,17,335
2022-12-05,Senin,49,Ujian,4041,224,4265
2022-12-06,Selasa,49,Ujian,4062,224,4286
2022-12-07,Rabu,49,Ujian,4053,223,4276
2022-12-08,Kamis,49,Ujian,4040,225,4265
2022-12-09,Jumat,49,Ujian,4036,223,4259
2022-12-10,Sabtu,49,Libur,320,17,337
2022-12-11,Minggu,49,Libur,315,17,332
2022-12-12,Senin,50,Ujian,4018,222,4240
2022-12-13,Selasa,50,Ujian,4046,223,4269
2022-12-14,Rabu,50,Ujian,4021,223,4244
2022-12-15,Kamis,50,Ujian,4048,224,4272
2022-12-16,Jumat,50,Ujian,4038,223,4261
2022-12-17,Sabtu,50,Libur,320,18,338
2022-12-18,Minggu,50,Libur,315,17,332
2022-12-19,Senin,51,Ujian,4035,223,4258
2022-12-20,Selasa,51,Ujian,4040,225,4265
2022-12-21,Rabu,51,Ujian,4068,224,4292
2022-12-22,Kamis,51,Ujian,4066,225,4291
2022-12-23,Jumat,51,Ujian,4048,224,4272
2022-12-24,Sabtu,51,Libur,331,18,349
2022-12-25,Minggu,51,Libur,316,18,334
2022-12-26,Senin,52,Ujian,4070,226,4296
2022-12-27,Selasa,52,Ujian,4073,225,4298
2022-12-28,Rabu,52,Ujian,4097,227,4324
2022-12-29,Kamis,52,Ujian,4079,225,4304
2022-12-30,Jumat,52,Ujian,4077,227,4304
2022-12-31,Sabtu,52,Libur,331,18,349
2023-01-03,Selasa,53,Libur Akademik,394,22,416
2023-01-04,Rabu,53,Libur Akademik,394,23,417
2023-01-05,Kamis,53,Libur Akademik,388,22,410
2023-01-06,Jumat,53,Libur Akademik,380,22,402
2023-01-07,Sabtu,53,Libur,329,18,347
2023-01-08,Minggu,53,Libur,322,18,340
2023-01-09,Senin,54,Libur Akademik,381,22,403
2023-01-10,Selasa,54,Libur Akademik,389,22,411
2023-01-11,Rabu,54,Libur Akademik,388,22,410
2023-01-12,Kamis,54,Libur Akademik,387,22,409
2023-01-13,Jumat,54,Libur Akademik,375,21,396
2023-01-14,Sabtu,54,Libur,327,18,345
2023-01-15,Minggu,54,Libur,315,18,333
2023-01-16,Senin,55,Libur Akademik,376,22,398
2023-01-17,Selasa,55,Libur Akademik,385,22,407
2023-01-18,Rabu,55,Libur Akademik,386,22,408
2023-01-19,Kamis,55,Libur Akademik,387,22,409
2023-01-20,Jumat,55,Libur Akademik,381,21,402
2023-01-21,Sabtu,55,Libur,333,18,351
2023-01-22,Minggu,55,Libur,321,18,339
2023-01-23,Senin,56,Libur Akademik,383,22,405
2023-01-24,Selasa,56,Libur Akademik,393,23,416
2023-01-25,Rabu,56,Libur Akademik,394,23,417
2023-01-26,Kamis,56,Libur Akademik,392,23,415
2023-01-27,Jumat,56,Libur Akademik,388,22,410
2023-01-28,Sabtu,56,Libur,340,19,359
2023-01-29,Minggu,56,Libur,331,18,349
2023-01-30,Senin,57,Libur Akademik,392,23,415
2023-01-31,Selasa,57,Libur Akademik,395,23,418
2023-02-01,Rabu,57,Libur Akademik,398,23,421
2023-02-02,Kamis,57,Libur Akademik,399,23,422
2023-02-03,Jumat,57,Libur Akademik,392,23,415
2023-02-04,Sabtu,57,Libur,341,19,360
2023-02-05,Minggu,57,Libur,327,18,345
2023-02-06,Senin,58,Libur Akademik,389,23,412
2023-02-07,Selasa,58,Libur Akademik,392,23,415
2023-02-08,Rabu,58,Libur Akademik,399,23,422
2023-02-09,Kamis,58,Libur Akademik,392,23,415
2023-02-10,Jumat,58,Libur Akademik,387,22,409
2023-02-11,Sabtu,58,Libur,332,19,351
2023-02-12,Minggu,58,Libur,322,18,340
2023-02-13,Senin,59,Libur Akademik,377,22,399
2023-02-14,Selasa,59,Libur Akademik,388,22,410
2023-02-15,Rabu,59,Libur Akademik,392,23,415
2023-02-16,Kamis,59,Libur Akademik,387,22,409
2023-02-17,Jumat,59,Libur Akademik,384,22,406
2023-02-18,Sabtu,59,Libur,333,18,351
2023-02-19,Minggu,59,Libur,322,18,340
2023-02-20,Senin,60,Libur Akademik,382,22,404
2023-02-21,Selasa,60,Libur Akademik,389,23,412
2023-02-22,Rabu,60,Libur Akademik,400,23,423
2023-02-23,Kamis,60,Libur Akademik,399,23,422
2023-02-24,Jumat,60,Libur Akademik,393,23,416
2023-02-25,Sabtu,60,Libur,338,19,357
2023-02-26,Minggu,60,Libur,332,19,351
2023-02-27,Senin,61,Libur Akademik,387,23,410
2023-02-28,Selasa,61,Libur Akademik,401,23,424
2023-03-01,Rabu,61,Perkuliahan,1919,108,2027
2023-03-02,Kamis,61,Perkuliahan,1918,106,2024
2023-03-03,Jumat,61,Perkuliahan,1910,107,2017
2023-03-04,Sabtu,61,Libur,341,20,361
2023-03-05,Minggu,61,Libur,331,19,350
2023-03-06,Senin,62,Perkuliahan,1906,107,2013
2023-03-07,Selasa,62,Perkuliahan,1902,107,2009
2023-03-08,Rabu,62,Perkuliahan,1913,106,2019
2023-03-09,Kamis,62,Perkuliahan,1911,105,2016
2023-03-10,Jumat,62,Perkuliahan,1893,106,1999
2023-03-11,Sabtu,62,Libur,331,19,350
2023-03-12,Minggu,62,Libur,328,18,346
2023-03-13,Senin,63,Perkuliahan,1881,104,1985
2023-03-14,Selasa,63,Perkuliahan,1892,105,1997
2023-03-15,Rabu,63,Perkuliahan,1901,105,2006
2023-03-16,Kamis,63,Perkuliahan,1897,105,2002
2023-03-17,Jumat,63,Perkuliahan,1876,104,1980
2023-03-18,Sabtu,63,Libur,337,19,356
2023-03-19,Minggu,63,Libur,329,18,347
2023-03-20,Senin,64,Perkuliahan,1887,106,1993
2023-03-21,Selasa,64,Perkuliahan,1909,107,2016
2023-03-22,Rabu,64,Perkuliahan,1898,106,2004
2023-03-23,Kamis,64,Perkuliahan,1917,107,2024
2023-03-24,Jumat,64,Perkuliahan,1913,107,2020
2023-03-25,Sabtu,64,Libur,340,19,359
2023-03-26,Minggu,64,Libur,336,19,355
2023-03-27,Senin,65,Perkuliahan,1912,107,2019
2023-03-28,Selasa,65,Perkuliahan,1913,107,2020
2023-03-29,Rabu,65,Perkuliahan,1925,108,2033
2023-03-30,Kamis,65,Perkuliahan,1932,107,2039
2023-03-31,Jumat,65,Perkuliahan,1915,107,2022
2023-04-01,Sabtu,65,Libur,346,20,366
2023-04-02,Minggu,65,Libur,331,19,350
2023-04-03,Senin,66,Perkuliahan,1916,106,2022
2023-04-04,Selasa,66,Perkuliahan,1909,107,2016
2023-04-05,Rabu,66,Perkuliahan,1924,106,2030
2023-04-06,Kamis,66,Perkuliahan,1913,107,2020
2023-04-07,Jumat,66,Perkuliahan,1906,106,2012
2023-04-08,Sabtu,66,Libur,336,19,355
2023-04-09,Minggu,66,Libur,327,18,345
2023-04-10,Senin,67,Perkuliahan,1883,105,1988
2023-04-11,Selasa,67,Perkuliahan,1898,105,2003
2023-04-12,Rabu,67,Perkuliahan,1902,107,2009
2023-04-13,Kamis,67,Perkuliahan,1894,106,2000
2023-04-14,Jumat,67,Perkuliahan,1882,105,1987
2023-04-15,Sabtu,67,Libur,332,19,351
2023-04-16,Minggu,67,Libur,323,18,341
2023-04-17,Senin,68,Perkuliahan,1874,106,1980
2023-04-18,Selasa,68,Perkuliahan,1895,106,2001
2023-04-19,Rabu,68,Perkuliahan,1898,106,2004
2023-04-20,Kamis,68,Perkuliahan,1900,106,2006
2023-04-21,Jumat,68,Perkuliahan,1903,106,2009
2023-04-22,Sabtu,68,Libur,334,19,353
2023-04-23,Minggu,68,Libur,331,19,350
2023-04-24,Senin,69,Perkuliahan,1893,107,2000
2023-04-25,Selasa,69,Perkuliahan,1908,107,2015
2023-04-26,Rabu,69,Perkuliahan,1920,107,2027
2023-04-27,Kamis,69,Perkuliahan,1911,107,2018
2023-04-28,Jumat,69,Perkuliahan,1902,107,2009
2023-04-29,Sabtu,69,Libur,341,19,360
2023-04-30,Minggu,69,Libur,333,19,352
2023-05-01,Senin,70,Perkuliahan,1909,107,2016
2023-05-02,Selasa,70,Perkuliahan,1908,107,2015
2023-05-03,Rabu,70,Perkuliahan,1926,108,2034
2023-05-04,Kamis,70,Perkuliahan,1916,106,2022
2023-05-05,Jumat,70,Perkuliahan,1903,106,2009
2023-05-06,Sabtu,70,Libur,338,19,357
2023-05-07,Minggu,70,Libur,326,18,344
2023-05-08,Senin,71,Perkuliahan,1895,105,2000
2023-05-09,Selasa,71,Perkuliahan,1891,106,1997
2023-05-10,Rabu,71,Perkuliahan,1902,106,2008
2023-05-11,Kamis,71,Perkuliahan,1890,105,1995
2023-05-12,Jumat,71,Perkuliahan,1873,104,1977
2023-05-13,Sabtu,71,Libur,335,18,353
2023-05-14,Minggu,71,Libur,324,18,342
2023-05-15,Senin,72,Perkuliahan,1882,104,1986
2023-05-16,Selasa,72,Perkuliahan,1882,105,1987
2023-05-17,Rabu,72,Perkuliahan,1896,106,2002
2023-05-18,Kamis,72,Perkuliahan,1883,106,1989
2023-05-19,Jumat,72,Perkuliahan,1877,105,1982
2023-05-20,Sabtu,72,Libur,333,19,352
2023-05-21,Minggu,72,Libur,321,18,339
2023-05-22,Senin,73,Perkuliahan,1873,106,1979
2023-05-23,Selasa,73,Perkuliahan,1884,106,1990
2023-05-24,Rabu,73,Perkuliahan,1908,105,2013
